geoName,зарплата it
Алтайский край,0
Амурская область,0
Архангельская область,0
Астраханская область,0
Белгородская область,0
Брянская область,0
Владимирская область,0
Волгоградская область,0
Вологодская область,0
Воронежская область,0
Еврейская автономная область,0
Забайкальский край,0
Ивановская область,0
Иркутская область,0
Кабардино-Балкарская Республика,0
Калининградская область,0
Калужская область,0
Камчатский край,0
Карачаево-Черкесская Республика,0
Кемеровская область,0
Кировская область,0
Костромская область,0
Краснодарский край,26
Красноярский край,55
Курганская область,0
Курская область,0
Ленинградская область,0
Липецкая область,0
Магаданская область,0
Московская область,49
Мурманская область,0
Ненецкий автономный округ,0
Нижегородская область,73
Новгородская область,0
Новосибирская область,43
Омская область,0
Оренбургская область,0
Орловская область,0
Пензенская область,0
Пермский край,93
Приморский край,0
Псковская область,0
Республика Адыгея,0
Республика Алтай,0
Республика Башкортостан,3
Республика Бурятия,0
Республика Дагестан,0
Республика Ингушетия,0
Республика Калмыкия,0
Республика Карелия,0
Республика Коми,0
Республика Марий Эл,0
Республика Мордовия,0
Республика Саха (Якутия),0
Республика Северная Осетия-Алания,0
Республика Татарстан,3
Республика Тува,0
Республика Хакасия,0
Ростовская область,4
Рязанская область,0
Самарская область,3
Саратовская область,0
Сахалинская область,0
Свердловская область,36
Смоленская область,0
Ставропольский край,0
Тамбовская область,0
Тверская область,0
Томская область,0
Тульская область,0
Тюменская область,100
Ульяновская область,0
Хабаровский край,0
Ханты-Мансийский автономный округ,0
Челябинская область,0
Чеченская Республика,0
Чувашская Республика,0
Чукотский автономный округ,0
Ямало-Ненецкий автономный округ,0
Ярославская область,0
город Москва,56
город Санкт-Петербург,41
республика Удмуртия,0
